,Unnamed: 0,year,saving,purchas,GDPPerCapiGrowth,Infla_rate
0,0,2021.0,7.7,2.3,6.53511998290108,1.6
1,1,2020.0,11.6,0.2,-8.0344742951426,0.5
2,2,2019.0,4.6,2.6,1.49589898756051,1.1
3,3,2018.0,4.3,1.4,1.50053912327405,1.8
4,4,2017.0,4.2,1.7,1.99499844733441,1.0
5,5,2016.0,4.5,1.6,0.829056664516742,0.2
6,6,2015.0,4.8,0.8,0.754024352327519,0.0
7,7,2014.0,5.2,1.2,0.484564448270447,0.5
8,8,2013.0,4.7,-1.2,0.0581495050462166,0.9
9,9,2012.0,6.2,-0.4,-0.171161336111382,2.0
10,10,2011.0,5.9,0.1,1.70061040175906,2.1
11,11,2010.0,6.6,1.6,1.44824526229692,1.5
12,12,2009.0,6.8,1.7,-3.37039728344885,0.1
13,13,2008.0,3.9,0.5,-0.302483826449375,2.8
14,14,2007.0,4.0,3.2,1.79523636713417,1.5
15,15,2006.0,3.6,2.9,1.74108525754491,1.7
16,16,2005.0,3.2,1.4,0.903680386720666,1.7
17,17,2004.0,4.0,2.2,2.07662490819244,2.1
18,18,2003.0,4.6,0.9,0.109402978570955,2.1
19,19,2002.0,5.6,3.0,0.401189128588285,1.9
20,20,2001.0,4.7,3.3,1.24252728979701,1.6
21,21,2000.0,4.5,3.5,3.21238484755931,1.7
22,22,1999.0,4.9,3.2,2.8886986204338,0.5
23,23,1998.0,4.5,3.3,3.20515305526739,0.6
24,24,1997.0,5.4,1.7,1.97211924452768,1.2
25,25,1996.0,4.3,1.1,1.05172456046772,2.0
26,26,1995.0,5.1,2.2,1.73616709894944,1.8
27,27,1994.0,4.4,0.6,1.97632626445218,1.6
28,28,1993.0,5.8,0.3,-1.05943733477235,2.1
29,29,1992.0,5.0,2.3,1.09459803470457,2.4
30,30,1991.0,2.9,1.1,0.163146327538627,3.2
31,31,1990.0,1.9,4.0,2.43024696521512,
32,32,1989.0,0.0,3.5,,
33,33,1988.0,0.3,3.3,,
34,34,1987.0,0.1,1.6,,
35,35,1986.0,2.1,2.8,,
36,36,1985.0,3.2,0.8,,
37,37,1984.0,3.4,-1.0,,
38,38,1983.0,4.4,0.0,,
39,39,1982.0,4.6,2.4,,
40,40,1981.0,4.3,1.5,,
41,41,1980.0,3.2,0.3,,
42,42,1979.0,4.2,0.7,,
43,43,1978.0,6.4,5.9,,
44,44,1977.0,5.1,2.7,,
45,45,1976.0,4.7,2.5,,
46,46,1975.0,7.0,3.1,,
47,47,1974.0,4.4,3.2,,
48,48,1973.0,4.4,5.9,,
49,49,1972.0,4.6,5.6,,
50,50,1971.0,5.0,5.4,,
51,51,1970.0,5.1,7.3,,
52,52,1969.0,2.7,4.8,,
53,53,1968.0,4.1,4.6,,
54,54,1967.0,4.3,5.6,,
55,55,1966.0,3.4,4.9,,
56,56,1965.0,4.0,4.7,,
57,57,1964.0,4.0,5.3,,
58,58,1963.0,5.4,6.5,,
59,59,1962.0,6.4,10.2,,
60,60,1961.0,4.4,4.8,,
61,61,1960.0,4.8,7.7,,
62,62,1959.0,3.0,,,
63,63,1958.0,4.0,,,
64,64,1957.0,3.6,,,
65,65,1956.0,3.8,,,
66,66,1955.0,5.7,,,
67,67,1954.0,5.1,,,
68,68,1953.0,4.2,,,
69,69,1952.0,5.7,,,
70,70,1951.0,5.3,,,
71,71,1950.0,6.9,,,
