," Agriculture, sylviculture et pêche", Industrie, Construction, Commerce et réparation automobile, Transports et entreposage, Hébergement et restauration, Information et communication, Activités financières et d'assurance, Activités immobilières, Soutien aux entreprises," Enseignement, santé humaine, action sociale et services aux ménages", Tous secteurs d'activité,Date
300,1378,4629,16131,13822,1812,7904,1484,1300,2224,6618,5431,62865,2015-01
301,1349,4661,16113,13686,1768,7986,1492,1295,2180,6616,5476,62756,2015-02
302,1362,4726,16340,13947,1781,8172,1494,1320,2219,6744,5632,63879,2015-03
303,1369,4721,16411,13912,1795,8210,1469,1306,2209,6689,5676,63923,2015-04
304,1350,4644,16009,13613,1717,8068,1433,1261,2184,6521,5620,62584,2015-05
305,1357,4661,16167,13807,1755,8276,1474,1263,2212,6611,5701,63462,2015-06
306,1386,4599,16007,13755,1735,8313,1476,1257,2209,6531,5718,63186,2015-07
307,1386,4582,15952,13722,1720,8276,1478,1257,2194,6483,5682,62934,2015-08
308,1393,4546,15963,13717,1747,8329,1448,1246,2194,6514,5703,63028,2015-09
309,1370,4489,15693,13577,1745,8180,1422,1228,2143,6423,5661,62173,2015-10
310,1343,4517,15698,13595,1729,8301,1407,1215,2125,6404,5726,62334,2015-11
311,1360,4561,15857,13737,1751,8428,1430,1231,2141,6509,5816,63111,2015-12
312,1362,4538,15498,13624,1722,8359,1429,1197,2130,6404,5790,62355,2016-01
313,1365,4450,15315,13578,1740,8305,1442,1203,2127,6357,5763,61973,2016-02
314,1348,4367,15095,13369,1738,8191,1432,1191,2113,6321,5670,61173,2016-03
315,1351,4281,14822,13261,1701,8128,1435,1181,2148,6287,5604,60539,2016-04
316,1401,4354,15207,13569,1783,8293,1471,1205,2173,6457,5741,62023,2016-05
317,1394,4309,14966,13329,1769,8139,1444,1188,2154,6419,5687,61169,2016-06
318,1380,4299,14679,13085,1752,8037,1405,1174,2125,6377,5617,60290,2016-07
319,1378,4290,14621,13044,1758,8027,1406,1166,2143,6381,5625,60204,2016-08
320,1398,4236,14331,12884,1737,7955,1413,1153,2126,6356,5607,59570,2016-09
321,1432,4211,14176,12789,1752,7961,1412,1150,2134,6379,5614,59389,2016-10
322,1451,4171,14024,12687,1787,7905,1409,1168,2159,6396,5579,59119,2016-11
323,1444,4129,13702,12496,1746,7749,1410,1134,2126,6313,5531,58155,2016-12
324,1458,4113,13574,12530,1769,7705,1405,1140,2077,6328,5523,57999,2017-01
325,1459,4122,13381,12419,1751,7671,1362,1116,2043,6243,5497,57443,2017-02
326,1510,4127,13212,12464,1770,7638,1378,1118,2028,6163,5527,57320,2017-03
327,1507,4086,12977,12300,1773,7534,1382,1100,1925,6092,5483,56556,2017-04
328,1536,4100,12877,12283,1785,7534,1381,1100,1917,6075,5563,56538,2017-05
329,1552,4062,12606,12209,1790,7394,1369,1090,1873,5966,5534,55867,2017-06
330,1563,4004,12512,12211,1787,7351,1372,1091,1851,5938,5517,55635,2017-07
331,1561,4009,12482,12242,1800,7353,1378,1081,1832,5960,5534,55674,2017-08
332,1534,3963,12323,12123,1811,7261,1376,1080,1795,5831,5480,55019,2017-09
333,1512,3973,12269,12060,1791,7301,1371,1084,1777,5775,5469,54821,2017-10
334,1516,3925,12135,12018,1772,7302,1362,1069,1725,5747,5448,54446,2017-11
335,1528,3894,12140,12049,1832,7310,1383,1069,1724,5769,5440,54571,2017-12
336,1501,3855,12093,11870,1833,7251,1356,1048,1708,5742,5402,54092,2018-01
337,1505,3821,11983,11801,1860,7139,1367,1040,1716,5743,5386,53785,2018-02
338,1461,3818,11755,11642,1855,7111,1346,1012,1714,5690,5328,53145,2018-03
339,1460,3806,11780,11639,1883,7117,1337,1034,1741,5707,5366,53276,2018-04
340,1435,3749,11653,11589,1873,7095,1334,1041,1726,5639,5218,52749,2018-05
341,1402,3739,11687,11557,1887,7152,1337,1041,1714,5642,5266,52789,2018-06
342,1409,3740,11731,11576,1950,7180,1347,1057,1708,5674,5296,53026,2018-07
343,1417,3731,11735,11541,1948,7191,1338,1062,1705,5998,5292,53309,2018-08
344,1430,3749,11794,11525,1967,7282,1312,1045,1695,6033,5331,53486,2018-09
345,1443,3858,11887,11664,2009,7315,1315,1045,1697,6108,5350,54013,2018-10
346,1408,3852,11893,11638,2051,7268,1321,1056,1679,6147,5333,53963,2018-11
347,1419,3919,11889,11584,2048,7303,1290,1089,1666,6160,5361,54041,2018-12
348,1434,3928,11939,11697,2069,7390,1310,1105,1677,6160,5437,54449,2019-01
349,1436,3933,11815,11666,2094,7424,1296,1115,1662,6184,5496,54406,2019-02
350,1436,3858,11777,11569,2100,7360,1281,1131,1644,6276,5490,54193,2019-03
351,1417,3865,11822,11600,2126,7397,1283,1112,1640,6336,5458,54316,2019-04
352,1433,3844,11745,11523,2149,7320,1271,1111,1633,6379,5509,54167,2019-05
353,1433,3784,11626,11434,2137,7250,1259,1099,1654,6345,5403,53659,2019-06
354,1441,3740,11632,11404,2091,7268,1275,1110,1659,6347,5444,53634,2019-07
355,1424,3744,11585,11326,2075,7201,1270,1106,1657,5964,5406,52976,2019-08
356,1392,3704,11416,11268,2073,7080,1300,1121,1648,5995,5346,52569,2019-09
357,1383,3543,11282,11208,2082,7036,1280,1122,1624,5907,5255,51932,2019-10
358,1405,3515,11174,11148,2082,6889,1282,1099,1632,5832,5208,51462,2019-11
359,1414,3436,11089,11136,2097,6840,1277,1086,1631,5813,5140,51145,2019-12
360,1378,3364,10840,10878,2079,6632,1278,1047,1578,5717,4946,49925,2020-01
361,1327,3292,10719,10798,2049,6540,1296,1035,1537,5652,4737,49171,2020-02
362,1284,3185,10249,10402,1966,6264,1254,997,1482,5385,4522,47176,2020-03
363,1218,3007,9470,9717,1822,5832,1193,969,1393,5011,4281,44083,2020-04
364,1112,2841,8847,9189,1700,5529,1125,928,1325,4703,4024,41481,2020-05
365,1084,2733,8472,8888,1626,5402,1091,903,1264,4579,3935,40135,2020-06
366,1073,2592,8062,8557,1572,5217,1041,856,1249,4396,3765,38522,2020-07
367,1063,2534,7906,8464,1551,5181,1029,841,1232,4348,3738,38027,2020-08
368,1049,2457,7484,8082,1478,4996,979,800,1234,4260,3589,36535,2020-09
369,1016,2340,6947,7553,1387,4728,943,763,1194,4098,3434,34522,2020-10
370,991,2205,6549,7143,1309,4503,920,757,1156,3974,3276,32897,2020-11
371,940,2106,6133,6792,1224,4219,902,722,1123,3816,3131,31217,2020-12
372,951,1999,5801,6437,1144,3960,855,714,1130,3693,3065,29845,2021-01
373,953,1853,5447,6027,1068,3611,812,688,1142,3547,2936,28169,2021-02
374,967,1817,5476,5969,1090,3498,825,668,1168,3576,2902,28036,2021-03
375,1022,1848,5705,6127,1108,3498,839,665,1220,3677,2948,28741,2021-04
376,1077,1903,5936,6194,1144,3492,855,669,1261,3773,2950,29338,2021-05
377,1098,1865,5910,6137,1147,3251,857,674,1301,3756,2814,28888,2021-06
378,1079,1848,5810,5965,1143,3031,845,652,1262,3682,2710,28103,2021-07
379,1084,1854,5827,5924,1150,2988,841,651,1265,3673,2680,28011,2021-08
380,1090,1808,5848,5825,1149,2785,861,639,1233,3574,2614,27496,2021-09
381,1076,1794,5862,5793,1156,2645,855,628,1215,3551,2596,27240,2021-10
382,1079,1816,5944,5835,1169,2626,852,615,1213,3550,2524,27290,2021-11
383,1072,1822,6054,5917,1180,2611,844,622,1222,3642,2553,27609,2021-12
384,1062,1857,6100,6086,1221,2734,875,646,1229,3682,2566,28124,2022-01
385,1080,1951,6318,6261,1255,2939,879,670,1241,3773,2674,29103,2022-02
386,1089,2020,6443,6568,1293,3230,926,702,1246,3837,2855,30272,2022-03
387,1097,2152,6593,6837,1388,3439,941,734,1239,3966,2967,31420,2022-04
388,1122,2216,6744,7109,1417,3636,968,759,1233,4052,3092,32420,2022-05
389,1105,2319,6970,7347,1474,3858,1013,767,1189,4217,3260,33588,2022-06
390,1117,2426,7285,7681,1522,4107,1047,803,1242,4339,3363,35007,2022-07
391,1122,2477,7421,7844,1529,4228,1059,819,1249,4410,3433,35666,2022-08
392,1105,2638,7678,8318,1621,4564,1083,868,1275,4544,3618,37393,2022-09
393,1153,2769,7906,8652,1679,4860,1126,900,1322,4677,3715,38839,2022-10
394,1177,2884,8143,8988,1695,5117,1153,953,1359,4772,3941,40263,2022-11
395,1183,3005,8375,9152,1744,5380,1184,976,1359,4799,4013,41249,2022-12
